部分,编号,测试项,操作,预期行为,结果
第一部分,1.1,PRIMARY KEY 唯一性,INSERT INTO USER (userid, username) VALUES (1, 'Duplicate') — userid=1 已存在,抛出 IntegrityError,?
第一部分,1.2,UNIQUE — username,INSERT INTO USER (userid, username) VALUES (4, 'Alice') — username 重复,抛出 IntegrityError,?
第一部分,1.3,UNIQUE — bookname,INSERT INTO BOOK (bookid, bookname) VALUES (201, 'SQL 入门') — 书名重复,抛出 IntegrityError,?
第一部分,1.4,FOREIGN KEY — userid,INSERT INTO BORROW (borrowid, userid, bookid) VALUES (1, 999, 101) — 用户不存在,抛出 IntegrityError,?
第一部分,1.5,FOREIGN KEY — bookid,INSERT INTO BORROW (borrowid, userid, bookid) VALUES (1, 1, 999) — 书籍不存在,抛出 IntegrityError,?
第一部分,1.6,CHECK — BOOK.status,INSERT INTO BOOK (bookid, bookname, status) VALUES (201, 'Test', 'invalid') — 非法状态值,抛出 IntegrityError,?
第一部分,1.7,CHECK — 借阅上限,UPDATE USER SET currentborrow = 6 WHERE userid = 1 — 超出上限 5,抛出 IntegrityError,?
第一部分,1.8,CHECK — 负数,UPDATE USER SET currentborrow = -1 WHERE userid = 1 — 负数,抛出 IntegrityError,?
第一部分,1.9,正常插入,合法数据 INSERT,数据正确写入可查询到,?
第二部分,2.1,正常借书,INSERT INTO BORROW (borrowid, userid, bookid) VALUES (1, 1, 101),BOOK.status='borrowed' USER.currentborrow=1,?
第二部分,2.2,重复借同一本书,再 INSERT INTO BORROW (borrowid, userid, bookid) VALUES (2, 2, 101),RAISE ABORT 抛出异常"书籍已被借出无法借阅",?
第二部分,2.3,多用户借不同书,用户1借101 用户2借102 用户3借103,各自 currentborrow 分别为 1 互不干扰,?
第二部分,2.4,同一用户借多书,用户1借101、102,currentborrow=2 2本书 status='borrowed',?
第二部分,2.5,借书达上限,用户已借5本再借第6本,被 CHECK 约束或触发器阻止,?
第三部分,3.1,正常还书,Alice借了101和102 DELETE FROM BORROW WHERE bookid=101,BOOK.status='returned' currentborrow从2降为1,?
第三部分,3.2,还清所有书,再 DELETE WHERE bookid=102,currentborrow=0,?
第三部分,3.3,还另一用户的书,DELETE WHERE bookid=103（Bob借的）,Bob的 currentborrow 归0,?
第四部分,4.1,borrow_book 正常,db.borrow_book(1, 101),返回 (borrowid=1 'Alice' 'SQL 入门'),?
第四部分,4.2,borrow_book 书已借,再次 db.borrow_book(2, 101),抛出 ValueError: 书籍 'SQL 入门' 已被借出,?
第四部分,4.3,borrow_book 用户不存在,db.borrow_book(999, 102),抛出 ValueError,?
第四部分,4.4,return_book 正常,db.return_book(101),返回 ('Alice' 'SQL 入门') 状态恢复为 returned,?
第四部分,4.5,return_book 书未借,再次 db.return_book(101),抛出 ValueError,?
第四部分,4.6,add_user 正常,db.add_user('Diana'),返回新 userid=4 表中可查到,?
第四部分,4.7,add_user 用户重复,db.add_user('Alice'),抛出 ValueError,?
第四部分,4.8,add_book 正常,db.add_book('新书推荐'),返回新 bookid=104 表中可查到,?
第四部分,4.9,add_book 书名重复,db.add_book('SQL 入门'),抛出 ValueError,?
第四部分,4.10,事务原子性,先手动插入借阅使102被借然后 db.borrow_book(2, 102) 预期失败,Bob的 currentborrow 保持为0 未被污染（ROLLBACK生效）,?
第五部分,5.1,V_USER_BORROW,Alice借了101、102 查询视图,返回2条记录 JOIN出username和bookname,?
第五部分,5.2,V_BORROW_RANK,插入3条借阅后查询,Alice(2本)排第一 Bob(1本)第二 Charlie(0本)第三,?
第五部分,5.3,视图实时更新,DELETE FROM BORROW WHERE bookid=102,V_BORROW_RANK中Alice从2降为1,?
第六部分,6.1,.borrow ID方式,.borrow 1 101,借书成功 Alice借到SQL入门,?
第六部分,6.2,.borrow 名称方式,.borrow Bob 'Python 进阶',Bob通过名称借书成功,?
第六部分,6.3,.borrow 重复借,.borrow 3 101（已被借）,提示借书失败,?
第六部分,6.4,.return ID方式,.return 101,还书成功 Alice归还SQL入门,?
第六部分,6.5,.return 书名方式,.return 'Python 进阶',Bob通过书名还书成功,?
第六部分,6.6,.adduser,.adduser 张三,用户添加成功 返回userid,?
第六部分,6.7,.addbook,.addbook 三体,书籍添加成功 返回bookid,?
第六部分,6.8,.listborrow,.listborrow Alice,查询Alice的借阅记录,?
第六部分,6.9,.rank,.rank,显示借阅排行,?
第六部分,6.10,.tables,.tables,列出BOOK、USER、BORROW三张表,?
